TradeDate,Ticker
2020-12-03,CNX
2020-12-03,EPD
2020-12-02,SBGI
2020-12-02,FL
2020-12-02,MPLN
2020-12-02,RSLS
2020-12-02,KNTE
2020-12-02,CLA
2020-12-02,KNTE
2020-12-02,CRNX
2020-12-02,PBFX
2020-12-02,PROG
2020-12-02,GOGO
2020-12-02,STFC
2020-12-02,KHC
2020-12-02,ORGO
2020-12-02,FNB
2020-12-02,HRL
2020-12-02,BKI
2020-12-02,CVCY
2020-12-02,CLSD
2020-12-01,CNBKA
2020-12-01,ATCX
2020-12-01,BSPK
2020-12-01,FOLD
2020-12-01,COTY
2020-12-01,ATCX
2020-12-01,ATCX
2020-12-01,BH
2020-12-01,IEP
2020-12-01,FPI
2020-12-01,AMH
2020-12-01,TESS
2020-12-01,LSYN
2020-12-01,CNX
2020-12-01,CNX
2020-12-01,LSYN
2020-12-01,HCHC
2020-12-01,MACK
2020-12-01,BKH
2020-12-01,RAVE
2020-12-01,SMMF
2020-12-01,BZH
2020-12-01,PCB
2020-12-01,NA
2020-12-01,NA
2020-12-01,CTG
2020-12-01,ESP
2020-12-01,ESP
2020-12-01,ATAX
2020-12-01,WTRH
2020-11-30,LIXT
2020-11-30,DRTT
2020-11-30,LIXT
2020-11-30,LIXT
2020-11-30,LIXT
2020-11-30,LIXT
2020-11-30,LIXT
2020-11-30,PERS
2020-11-30,LIXT
2020-11-30,RAIL
2020-11-30,AMRN
2020-11-30,CORT
2020-11-30,FL
2020-11-30,BTN
2020-11-30,FTK
2020-11-30,FRD
2020-11-30,QUOT
2020-11-30,AAT
2020-11-30,SYNL
2020-11-30,ISR
2020-11-30,KRMD
2020-11-30,JMP
2020-11-30,CHMA
2020-11-30,BIIB
2020-11-30,SPOK
2020-11-30,PSTI
2020-11-30,KRMD
2020-11-30,STFC
2020-11-30,STFC
2020-11-30,EIG
2020-11-30,FTK
2020-11-27,FL
2020-11-27,RBCAA
2020-11-27,SREV
2020-11-27,COTY
2020-11-27,PCB
2020-11-27,TRST
2020-11-27,ELYS
2020-11-25,RAIL
2020-11-25,BH
2020-11-25,JMP
2020-11-25,MRVI
2020-11-25,FBMS
2020-11-25,DOOR
2020-11-25,UBCP
2020-11-25,LMNX
2020-11-25,VIVO
2020-11-25,COTY
2020-11-25,ELYS
2020-11-25,KDP
2020-11-25,COTY
2020-11-25,SFT
2020-11-25,JMP
2020-11-25,DTRC
2020-11-24,IBTX
2020-11-24,PERS
2020-11-24,FL
2020-11-24,BLFS
2020-11-24,UEPS
2020-11-24,UEPS
2020-11-24,LAZY
2020-11-24,MACK
2020-11-24,MACK
2020-11-24,TESS
2020-11-24,STON
2020-11-24,BFC
2020-11-24,HQI
2020-11-24,MRVI
2020-11-24,MRVI
2020-11-24,MRVI
2020-11-24,MRVI
2020-11-24,MRVI
2020-11-24,MRVI
2020-11-24,MRVI
2020-11-24,CF
2020-11-24,STOK
2020-11-24,STOK
2020-11-24,NREF
2020-11-24,CUE
2020-11-24,OGEN
2020-11-24,SAFT
2020-11-24,NTWK
2020-11-24,BZH
2020-11-24,COTY
2020-11-24,CLSD
2020-11-24,VTVT
2020-11-24,TFFP
2020-11-23,BKYI
2020-11-23,CYAN
2020-11-23,CERC
2020-11-23,WSTG
2020-11-23,TURN
2020-11-23,FTK
2020-11-23,CKX
2020-11-23,SFT
2020-11-23,LIVX
2020-11-23,CORT
2020-11-23,ATEX
2020-11-23,CHMA
2020-11-23,QRTEA
2020-11-23,CRTD
2020-11-23,PTVE
2020-11-23,MGTX
2020-11-23,BHVN
2020-11-23,OLMA
2020-11-23,OLMA
2020-11-20,HWKE
2020-11-20,FTSI
2020-11-20,ALK
2020-11-20,ISNS
2020-11-20,HWKE
2020-11-20,FTSI
2020-11-20,FTSI
2020-11-20,BH
2020-11-20,CASI
2020-11-20,JMP
2020-11-20,CLRO
2020-11-20,CNO
2020-11-20,ADMQ
2020-11-20,JMP
2020-11-20,COTY
2020-11-20,FLXS
2020-11-20,CRTD
2020-11-20,MYE
2020-11-20,BRG
2020-11-20,DMAC
2020-11-20,ORI
2020-11-20,BW
2020-11-20,ISNS
2020-11-20,TMP
2020-11-20,LAZY
2020-11-20,REKR
2020-11-20,LODE
2020-11-20,OAS
2020-11-20,EEX
2020-11-20,FLXS
2020-11-20,YORW
2020-11-19,TLS
2020-11-19,ALSK
2020-11-19,COTY
2020-11-19,BDGE
2020-11-19,TLS
2020-11-19,TLS
2020-11-19,PRTY
2020-11-19,DHR
2020-11-19,KDNY
2020-11-19,TESS
2020-11-19,COTY
2020-11-19,RMED
2020-11-19,PERS
2020-11-19,PAND
2020-11-19,MGY
2020-11-19,ALPN
2020-11-19,SELF
2020-11-19,HRTH
2020-11-19,LIVX
2020-11-19,OLMA
2020-11-19,ZGNX
2020-11-19,EML
2020-11-19,CNO
2020-11-19,RAPT
2020-11-19,STFC
2020-11-19,FCF
2020-11-19,RILY
2020-11-19,RMED
2020-11-19,RMED
2020-11-19,BMTC
2020-11-19,REYN
2020-11-19,REYN
2020-11-19,MYE
2020-11-19,IHRT
2020-11-18,PLXP
2020-11-18,CAR
2020-11-18,UEPS
2020-11-18,UEPS
2020-11-18,AWRE
2020-11-18,AWRE
2020-11-18,RYES
2020-11-18,AAT
2020-11-18,ISNS
2020-11-18,HOFV
2020-11-18,HOFV
2020-11-18,HOFV
2020-11-18,HOFV
2020-11-18,CORT
2020-11-18,BMTC
2020-11-18,REZI
2020-11-18,REZI
2020-11-18,REZI
2020-11-18,GSKY
2020-11-18,GTHX
2020-11-18,MBI
2020-11-18,SFT
2020-11-18,SPOK
2020-11-18,PCB
2020-11-18,BWB
2020-11-18,EPD
2020-11-17,YMAB
2020-11-17,CLRO
2020-11-17,PAND
2020-11-17,ORGO
2020-11-17,MPLN
2020-11-17,ORGO
2020-11-17,SBH
2020-11-17,ORGO
2020-11-17,ORGO
2020-11-17,ORGO
2020-11-17,KROS
2020-11-17,KROS
2020-11-17,NHLD
2020-11-17,KROS
2020-11-17,TAST
2020-11-17,MYE
2020-11-17,DCTH
2020-11-17,NHI
2020-11-17,BSGM
2020-11-17,ATRC
2020-11-17,WSTG
2020-11-17,BZH
2020-11-17,CTGO
2020-11-17,TEN
2020-11-17,PGRE
2020-11-17,GCP
2020-11-17,ALTG
2020-11-17,ALTG
2020-11-17,PGRE
2020-11-17,MOFG
2020-11-17,MPLN
2020-11-17,TRST
2020-11-17,MFNC
2020-11-17,XXII
2020-11-17,SBH
2020-11-17,DCTH
2020-11-16,CNBKA
2020-11-16,SRT
2020-11-16,SRT
2020-11-16,PERS
2020-11-16,BTN
2020-11-16,EOSE
2020-11-16,FFIC
2020-11-16,UEPS
2020-11-16,UEPS
2020-11-16,CINF
2020-11-16,INTT
2020-11-16,FXNC
2020-11-16,ISNS
2020-11-16,BH
2020-11-16,WTRH
2020-11-16,COTY
2020-11-16,ECPG
2020-11-16,REYN
2020-11-16,REYN
2020-11-16,VRS
2020-11-16,STFC
2020-11-16,WHG
2020-11-16,MPLN
2020-11-16,VRS
2020-11-16,EEX
2020-11-16,CLSD
2020-11-16,EPD
2020-11-13,SANW
2020-11-13,WSTG
2020-11-13,CORT
2020-11-13,SYNL
2020-11-13,SAFE
2020-11-13,PRTY
2020-11-13,GSKY
2020-11-13,GSKY
2020-11-13,MYE
